1,Waitrose Organic Cherry Tomatoes,Produce,Waitrose,Farm fresh tomatoes sourced from local organic farmers,8.99,1.png
2,Salad Mix,Produce,Dole,Spring mix salad with fresh pre washed vegetables ,5.99,2.png
3,Butternut Squash,Produce,Canada Farms,Tasty butternut squash that is suitable for all kinds of meals,5.95,3.png
4,Fuji Apples (Pack of 6),Produce,Canada Farms,Fresh sweet hand picked apples,6.6,4.png
5,Starbucks Mocha Frappucino,Beverages,Starbucks,Bottled version of your favourite coffee,3.19,5.png
6,Starbucks Vanilla Frappucino,Beverages,Starbucks,Bottled version of your favourite coffee,3.19,6.png
7,Lays Classic Crisps,Snacks,Lays,The quintessential classic crisps,2.99,7.png
8,Cucumbers,Produce,Canada Farms,Fresh high quality locally farmed cucumbers,1.7,8.png
9,Lays Barbeque Crisps (Bottle),Snacks,Lays,Your favourite flavour of chips in easy to carry bottle form,2.5,9.png
10,Certified Angus Filet Mignon,Meat,Canada Meat,Highest quality steak cut,22.97,10.png
11,Lemons ,Produce,Canada Farms,Fresh local hand-picked lemons popular for adding flavour to teas meals and desserts. Use the juice or zest the peel to incorporate lemons into your favourite dish.,4.99,11.png
12,Oranges,Produce,Canada Farms,Fresh local oranges that are great for eating juicing or cooking with,5.99,12.png
13,Duberton Center Cut Pork Loin Chops,Meat,Duberton,Antibiotic free pre cut pork loin chops. Great for any cuisine,15.5,13.png
14,Blueberries,Produce,Canada Farms,Blueberries are indigo-coloured berries known for their antioxidant properties. They are also bursting with flavour.,3.99,14.png
15,Strawberries,Produce,Canada Farms,Fresh strawberries great for many different ways of consumption,3.99,15.png
16,Bananas,Produce,Canada Farms,Fresh bananas great for many different types of stuff,5.49,16.png
17,Smucker's Strawberry Jam,Jams,Smucker's,Tasty strawberry jam great for sandwhiches pancakes and much more,5.29,17.png
18,Smucker's Apricot Jam,Jams,Smucker's,Tasty apricot jam great for sandwhiches pancakes and much more,5.29,18.png
